"HolderAddress","Balance","PendingBalanceUpdate"
"0x1191b02774431eaf26a677b297fa7b661ce51904","963.235794205","No"
"0x1198b6c8acd12b684d1fcaee08709c789f0b5719","1318.152","No"
"0x12161fc88cbb957d1a923b7f2400d7d49012a790","13467.454077266","No"
"0x1235ce7d62a9e677d995402e1c41e7b68890da60","968","No"
"0x123dd8f0f85dffacc11ff2cbeab4fd21460da50a","326.366786703","No"
"0x1290b12a063138169bfd6eec41e55021bdd4f506","782.056","No"
"0x1294972d835b3288eed1d261325d7dbc10372336","1750.565273285","No"
"0x1342414ab27637a8c18c4b913b980b00e3b4989c","220","No"
"0x135fa173d6fd658371e4ac3bee98365e079a588a","2551.58904","No"
"0x13970ee3b30898e43f0e707003fc9fb950e00e95","235.84","No"
"0x13f6007ca0fb81a6885230b7db018041979bff80","170.128929974","No"
"0x13f79f726972d2cfdabc69544559bfea41f6c195","76.665096265","No"
"0x13fa44d80d67db41cb60239f0e6bea5c2250c68f","717.20585253","No"
"0x14821943a985cb301352d74cf1a9530d91a2ed16","1540.8733346","No"
"0x14999d6787209db1a341f0816de2b5a905ea7bf8","257.84","No"
"0x149dfae62e288b13441c33a59e180ec9c30b71ef","492.3072","No"
"0x149fef50ab6b7f549e210d2d677c2d82a83bcbfe","9126.547218003","No"
"0x152cb13923008579d08b382d4b785d4431e9b44c","3237.803426939","No"
"0x155721815acbc632a4c524165f7e2aec621f8ca8","252.609048304","No"
"0x1642afd784dd251b0230a7cdcfdbbafde7d864d7","17.6","No"
"0x16467dfc312015330d5006752a3b7e3a79332d86","518.71307808","No"
"0x16764f1fcfbf7b5df3f946b4eb0cb4465ea06623","8.8","No"
"0x16853e027413c244aad9018231fc7470ae4b936b","15654.379937658","No"
"0x168f1d66c5dc4eef506a3c6c6d63816faff67033","11813.32626334","No"
"0x172141e01fc6bd59df5de59a9722c86a73425670","1045.706310398","No"
"0x173782e0149d6907e68a498efac91d364818d101","464.315009724","No"
"0x179e30a29c42c4b387d8da9c2e5a22dfece6d020","2676.097089993","No"
"0x1840f2e9e5c8e5c47114b35c1fa242566fbb7ecc","6306.197818583","No"
"0x18709f1bbef429d319df6bd75da89ebd80f502bf","2380.612508119","No"
"0x189290b742f13ff89baee759661c90e68a54e027","101.551431982","No"
"0x18b30cb2f70fbe8a8909dc51431aa195b30062e3","2286.26906491","No"
"0x18de720efeb6e6de50cdf3c22926ec3d124b1d35","2719.472239164","No"
"0x1950fe67a84a5d02466ea4a242ef1e03f325eae7","842.420437802","No"
"0x196d2c1fe0e5c934d2fd2a724d0939e1d73ddd8b","127.6","No"
"0x1982d4b671745c1b3199f459267c992d34e35259","109.41568","No"
"0x19c96d33640228a116e3fb196a89ee41d43bf46c","442.214495886","No"
"0x19d1594acd2f5a2714201390dafa0756fbb7e77c","315.202010177","No"
"0x19db19fb4288246a3b827c198e32a94b487c950c","6908.516557962","No"
"0x1a20e0e206fccfacc293ff47051cfa3dd02a489d","923.630516737","No"
"0x1ab03a97bb22959b5c2afd3068050ff44172d279","69398.56","No"
"0x1ac11158160ab6dc3a06713115b1320dc5044f1e","396.80168","No"
"0x1ad07b908e4981df5950ca375642e38d617f25bb","501.24280444","No"
"0x1aff5aa3c463aa51a59513a6935081bbb3124008","51.30295612","No"
"0x1b05595dcfb2d92168033a32c522302209e892c8","4400","No"
"0x1b2e9ce0c8e1aab7361ee1d420f026149dded5ce","629.947980406","No"
"0x1b42f321fd808d9c52ce721970bb4d0ef1355e33","1132.718867852","No"
"0x1b4d94dfc8758b7225c906b623b0773e8b3bae57","802.474215161","No"
"0x1b527a796d509fbe288f5fe24de4611e1391b547","5720","No"
"0x1ba08ba259c772ebeaf6e736bccb88eb1b6e997b","1234.992077043","No"
"0x1c15367718f2e12a28b7e3893bcc415ad5a2d0d1","1760","No"
"0x1c244b661cd7fd387b70e9dff95885a420b95788","33974.963362538","No"
"0x1c28d5d6c98689c862e775855c274bbd99797144","2193.444517371","No"
"0x1c2ac3be31092dd8098658e5910b34a29f9dc751","7590.88","No"
"0x1c5de7627b70a6f392e7b309f42473df95953c63","1690.48","No"
"0x1c6acb9e2f1607c736d5c9c6c001d6a47433197d","41.36","No"
"0x1ca92ada3c77a1a5b676eed51e1c27920f50f4c4","12375.650436955","No"
"0x1cbbab2b591433c9a48700fc2872cb48e1b9dd42","47.633727534","No"
"0x1ce136dac2004b8cfd316d311575143b0fd581cd","8203.395415654","No"
"0x1d3a4edbe578e7666f0d1a1ed03d205390a37a64","113.834656152","No"
"0x1d6047820f00de49a7eb7b57e8cd58ef034324d5","19698.027019845","No"
"0x1def369705c53624ae1a1866dfa781d7e59be434","188.121427414","No"
"0x1e0edd5fc12524105acc3a55c530f5fc75448538","169.567914804","No"
"0x1e14d53ad9930db9315e5f546a4a34d95645b829","2729.731934364","No"
"0x1e421fc246db343ceac5a6ba89a6de1d5d9354e1","296.956265357","No"
"0x1e43507365f0b7ac4112269c5cd2c954b6637813","56.440568934","No"
"0x1ec8f936895446823ba85a2b25a19d3e98de8a62","450.097449959","No"
"0x1edf43b5729cf11b2d3ad40c67adc18ba4097c1d","220","No"
"0x1ef4e1713d8b7924d34edef6a136d306e0ed130a","532.539983908","No"
"0x1efc48a80e7f7d968af2d6389da626f56eb7e94e","760.96791751","No"
"0x1f0e34e48409c317221e5b2859a0c8c6a1b05a6f","11.755968887","No"
"0x1f11298ca232f0ddd497c2c4790499decd21bc97","264","No"
"0x1f988f4e133cf2ff2d56339c91a1b6e0a700f681","44","No"
"0x20134d0a5735872ab1a1c117f16148b870e262fa","43774.353367328","No"
"0x20218eb0172fab5ccb099b3a1d5a96ea57126bff","132","No"
"0x2035a46aea776f39b02338ecd13115790804533c","225.382935665","No"
"0x2059622f8ee1f1d01f8fcbba5f2dbee597622bf5","713.138584989","No"
"0x2089a8b271628bb64a91a86c5b6bbc2c27766ada","239.584652443","No"
"0x209f23cc05f4a3212f5f2fef553ead51769511c7","1800.489066052","No"
"0x20c28c1b1e126710a2ac89b89c133ae842509472","158663.533672463","No"
"0x20c5dd8c51ff3a71cab672883b9def7c91d11adf","2158.108625239","No"
"0x20e80b35679cd162b3062d576e1b6cb4800ffb52","1647.099716241","No"
"0x21483f04d1a27a6329d69df1ca832c455bac32c7","52.315179301","No"
"0x216ecd706c8f8821e33227572e0e3f44fcb9c8c1","71.28","No"
"0x2183a03ab6b97663c238516cacd110f3f83fb7c3","2896.569878347","No"
"0x21ce1fc9599b37070d23fb41410ca44317dd5d7a","8.8","No"
"0x21f7f591c3f8ced94eb6ea0d37196b1d9dedb07e","3382.115535165","No"
"0x22865deaad36378f7f92a3e497c3c595b3401a67","1885.150843679","No"
"0x22a5a670c8424a9815bac81ccbadcbd40d79da7f","2728.599177472","No"
"0x22acd6d325c435a8f1260976103a289475d0157a","38.72","No"
"0x237f3cf434eb1555d660e8235a4021aae7ccc33d","1220.238138522","No"
"0x23c0b31088d8d155ed53948d80eb3179b639c4e7","3080","No"
"0x24559a654ce65e31fbed2ddb8840f19c7fa902ac","188.936","No"
"0x245e54cb6aec772ec85a1a1e54971dc6fe539e92","1943.04","No"
"0x246438ce9eeab8e58d5ab7ce3bbc61418ffbef84","417.838360392","No"
"0x247927b325e7f795cb6bb629d42d640ebedee01f","0.44","No"
"0x24b523b7b09c4da3bec8fac4210df25313fdfc09","7000.124409933","No"
"0x251079b6811bda650d3ce0305020ab31b942d229","331.76","No"
"0x25a217725c6061e2408f57a1d25014a3127becd6","469.712754368","No"
"0x25b23f64a3224d387372c28ed8f79aba9edca287","362.427667527","No"
"0x2679a74f039726d2caa2dd5be149467b95da62ec","352","No"
"0x26873cbf6b70f9f59a24f27d8c6ec42025069a56","1505","No"
"0x26a38bbcb16a80a4e99d5502a2a1e1df8f639f96","201.926664713","No"
"0x26c250848a0b9f50ba397fef7dfca1719b31ec60","461.512927217","No"
"0x26ce9ffb7add0f1c81813df5bb175e91a4e3884e","258.672650183","No"
"0x26de69886e4566b0870cc31947f87055a8334371","113188.704816843","No"
"0x26fb2d81a49c6558b2b139982fded55d3e028226","16889.226660697","No"
"0x271516ef25bb11f10dbfc3ba422a9442f4e2db74","2816.355113125","No"
"0x278b8020553b60329d5019a9c357e1b01460d245","397.58488","No"
"0x27a38e222eb76d60edb48a2af39bd4b31ddbe42a","700","No"
"0x281c68379b5fa771f703a74f05d568e3c4e13d11","2940.96","No"
"0x281e23b297d26470fa7082b23e168b364f9b3573","813.19966097","No"
"0x28208d2d5f5d6dee46e0f2e3f79bf06ca70609bf","3003.026859148","No"
"0x283214082d233ae4e106a4d49aa73081a3c3e30d","2736.8","No"
"0x287d96b950ef46035d8ea1935a4c83d33970fe5e","3699.291315046","No"
"0x28992c14391fea1dcd4cd5d0b1842cf9c2d31c8b","1352.404748558","No"
"0x28bd4db2f24e5a99ee86d0abb36103e9d4f24174","880","No"
"0x293e40699eb817756b77918b3e7d0a3543f0d216","2836.665132848","No"
"0x29436910226f8c6e79c2555d29eccf506b2a4222","67.649274919","No"
"0x2980c96d54d7a76378f698057f03382b3a63eba5","16334.69344595","No"
"0x298ce9578ee0de7ccfdf0c4118cf05a2c5bd3c14","1345.250052795","No"
"0x2a072ff04e6a944ebd1d2a05353ff152c17952e5","1677.0214384","No"
"0x2a1d5b3370392e5d9a6c3dec1958b6f7115cf35a","274.637472707","No"
"0x2ac6db86087640ab273057432d2fe2d955abf84f","510.980559082","No"
"0x2ad2ea1f414fc5dcbe470053f418ca1655a74b04","29.919912","No"
"0x2b7bf4f2b9cd253fe6c107fb5abe3a591317518d","444.646922708","No"
"0x2bc3bcebecf7e2e2c3e1c8c601bc3932034f4bac","8.8","No"
"0x2bdff2b704b865e90bb7e83b4612ea71daa23188","387.513317115","No"
"0x2c3080ec1865134e775482da64b26751bc279691","52370.012835381","No"
"0x2c31d009414debbce39faafbce1025754f31bc53","97.23716254","No"
"0x2c5fd4ab2fed08fd796c27bef94cd47fc7eb6081","980.461869205","No"
"0x2cc1c7a1aad316f33780bee382f4b183b4953582","880","No"
"0x2ce173bdd1970d35fb79f6cf020753d49b10d88d","61.6","No"
"0x2cea6e53482b41e13ee6944262ce75d8e39d0000","501.313144611","No"
"0x2cf85bd43aa134dd9ed57d0b6fa5797c4883005a","445.922425341","No"
"0x2d515d80b01de23331898d10e4a829cdc695849c","1350.512982968","No"
"0x2d6e121d7de3dabec1e1f5dba4ca2ee896eb7afd","19691.076753718","No"
"0x2d8ed030319596bdb7ab172811514e0ea483d0cf","412.375067376","No"
"0x2e200ebe5147677440c4f49ddd0b125de9a01115","12246.703010872","No"
"0x2e41b317747eb2acbe3c0caa18403d8fe1b4f881","42812.62227652","No"
"0x2e66013c198c4fcc4de390bc65019d85438caf8e","8800","No"
"0x2e730b81a15f75314074b9161a944dc60bf73cad","2882.750327674","No"
"0x2ea6e9d1d295202e2eb717126dbc1498207f4980","42.976639908","No"
"0x2f1c9d77d35e71ca032f02e2f9bb267cef4f0eab","154.275474929","No"
"0x2f3f14cadfe95645d5c3b9c4eb2e1f3747bdc967","4351.351127278","No"
"0x2f42bdde6802f176d4142bcfd45d71aba65d6786","140800","No"
"0x2f5bc52dd5eec59426ebdade63a27e6d94c83468","39860.777800422","No"
"0x2f6814b61db032a76603db1d675b56976fb319dd","64753.201053659","No"
"0x2f7991be99f459504b32c58b38a35f08706611dd","0.006799471","No"
"0x2f844d916859017f4f4ddd5f0ba7976709f0d465","450.56","No"
"0x2fce2080d37077f139271816a18d990ba9b171be","88","No"
"0x2fd3bfd6e9f9d89315d30eedb594c54b31394c4d","1893.93688","No"
"0x2fdc4fc770e2b6d189acfc408f994eaab6f096c1","272.151873264","No"
"0x2fef9576e9e2bef533e933fff37d84f0d1d76818","3384.622459134","No"
"0x30142b86f4ef561b797d57a7bd211e734f8444d9","352","No"
"0x309108f857d9d295bcf435eb61158fbef8b016e8","190.796511771","No"
"0x30bef1678e16462d6c5b185f721d74b541477ed8","588.284054836","No"
"0x31106311595559b87ee3a90c970ac88c4932500a","536.536","No"
"0x312e520832d030e11a2374e93330e505e68f4b99","176","No"
"0x31355ec88d2b44258b237bf625c126545f445348","661.14488","No"
"0x313a6a80075a2a97e9eb0cd3bf874c1447c3ebae","440","No"
"0x3162129940328d1168eb60b00496a66e52965e8e","11836.574019147","No"
"0x3197712a890640f60a4f40ad5bfad33125d27d3a","80.670103458","No"
"0x31f0c57f36c872409a7b5eb613594e2655d6518f","1132.323471652","No"
"0x3221b0725c741a324d0e1a245a08a6ff8d73baa0","8075.324050995","No"
"0x327ff0f2a8081061baaab0bbf265af704bbfa2ce","88","No"
"0x32adbbaf039923a2d34ad00e770fa983c55336c6","1835.35473609","No"
"0x32cb68a474d8e873892e5001c5d32f589ca947ad","106.107547089","No"
"0x3325f58217a353ce02f53ba60dfb0924aa1c1678","361.001467533","No"
"0x3328f3306668a9e019a251fd28d8a38ee2bf4eec","374.956076058","No"
"0x337822b082fac50dbbc6b149f9a3bb3bbc02bcff","25933.688","No"
"0x33fd3a83b40e51c398eecb0fa93278699a58400e","439.987371172","No"
"0x340d1f59eaaf2fe00f646f9ba65369126b407953","480.350333879","No"
"0x3484a058535c1f2f516e9d47b5e88993c2501654","167.52296","No"
"0x34cc54f3c65e6e6cfd1f05e2ad0540624a5eff24","941.509336438","No"
"0x34e250a5bf8e7abc85873946af735e4b5d6628f3","2640","No"
"0x35016c9e3d68255ae881b8ad8d7ce3f6adce3d99","90.06184","No"
"0x35324278bcf003e16bcb9399fe412b8af2a45a82","4372.216684969","No"
"0x3548cd2e353c966b9485b4dee48d623b5cef7c83","558375.939653809","No"
"0x358fb80fcb06346fef20e819dc81ed9894b0bd48","176","No"
"0x35a5c9f9070ab39dff67e5d5fa81725b1b8725f9","3925.234920679","No"
"0x35c78afbcb0d8aba2d7aca9ca61ea98d87015468","3078.900604922","No"
"0x363962f0f9508473ce825ce451519c9e20760185","830.842874668","No"
"0x363a2263659368eb1fb147c278eccb514e7add45","176","No"
"0x36406df035b7f30306d66d605b9d54b2c4f85602","461.666496846","No"
"0x364a5435e23234721ec57163b582977d68484366","914.857848768","No"
"0x36798d3ad80fbc07a93b2bab7944e0e63f05fcae","880","No"
"0x3685582ed627f0c3f7f530ff906356dbd15fb3b5","215.700620287","No"
"0x369ee0a5a7a9644a9098be91c414aa59f8f60889","32.299129538","No"
"0x369fc5b118f39ee5b59c5fa234a01900ddfdc37c","58.586449895","No"
"0x36a22edb865fd5108bb081a8b95fc62b91c6f8c4","139.44864471","No"
"0x36bc2aea156d0b0a96b4987c07ae04fb57a39133","264","No"
"0x37734b7586a5cc2b796dfee5263c886ba815a4a8","24.462774328","No"
"0x379944d0a37bbe18c94f5fadb68a2896f045fa91","1791.513335928","No"
"0x37a975508df9afb417dc6872c7473d173d816f08","15418.235068817","No"
"0x37b826d29163f2f9cbcb9ebc9ce454676cc14c46","1027.525450094","No"
